source_address	source_port	dest_address	dest_port	delay
1.0.0.2	49153	7.0.0.2	1234	0.365000
1.0.0.2	49153	7.0.0.2	1234	0.368000
1.0.0.2	49153	7.0.0.2	1234	0.371000
1.0.0.2	49153	7.0.0.2	1234	0.373000
1.0.0.2	49153	7.0.0.2	1234	0.375000
1.0.0.2	49153	7.0.0.2	1234	0.378000
1.0.0.2	49153	7.0.0.2	1234	0.380000
1.0.0.2	49153	7.0.0.2	1234	0.380000
1.0.0.2	49153	7.0.0.2	1234	0.383000
1.0.0.2	49153	7.0.0.2	1234	0.385000
1.0.0.2	49153	7.0.0.2	1234	0.387000
1.0.0.2	49153	7.0.0.2	1234	0.390000
1.0.0.2	49153	7.0.0.2	1234	0.392000
1.0.0.2	49153	7.0.0.2	1234	0.394000
1.0.0.2	49153	7.0.0.2	1234	0.396000
1.0.0.2	49153	7.0.0.2	1234	0.400000
1.0.0.2	49153	7.0.0.2	1234	0.402000
1.0.0.2	49153	7.0.0.2	1234	0.404000
1.0.0.2	49153	7.0.0.2	1234	0.407000
1.0.0.2	49153	7.0.0.2	1234	0.409000
1.0.0.2	49153	7.0.0.2	1234	0.412000
1.0.0.2	49153	7.0.0.2	1234	0.414000
1.0.0.2	49153	7.0.0.2	1234	0.417000
1.0.0.2	49153	7.0.0.2	1234	0.417000
1.0.0.2	49153	7.0.0.2	1234	0.419000
1.0.0.2	49153	7.0.0.2	1234	0.422000
1.0.0.2	49153	7.0.0.2	1234	0.424000
1.0.0.2	49153	7.0.0.2	1234	0.427000
1.0.0.2	49153	7.0.0.2	1234	0.430000
1.0.0.2	49153	7.0.0.2	1234	0.432000
1.0.0.2	49153	7.0.0.2	1234	0.434000
1.0.0.2	49153	7.0.0.2	1234	0.436000
1.0.0.2	49153	7.0.0.2	1234	0.439000
1.0.0.2	49153	7.0.0.2	1234	0.442000
1.0.0.2	49153	7.0.0.2	1234	0.444000
1.0.0.2	49153	7.0.0.2	1234	0.446000
1.0.0.2	49153	7.0.0.2	1234	0.449000
1.0.0.2	49153	7.0.0.2	1234	0.449000
1.0.0.2	49153	7.0.0.2	1234	0.452000
